"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"James Washington","PIT","2.0","27.8","0.1","0.0","0.0","0.0","0.0","4.1"
"Will Fuller V","MIA","2.0","30.7","0.0","0.0","0.1","0.0","0.0","4.1"
"Rashard Higgins","CLE","1.9","26.6","0.1","0.0","0.0","0.0","0.1","4.0"
"Zach Pascal","IND","2.0","26.2","0.1","0.0","0.3","0.0","0.0","4.0"
"Kendrick Bourne","NE","1.9","25.4","0.1","0.0","0.0","0.0","0.0","3.9"
"Tim Patrick","DEN","2.0","26.4","0.0","0.0","0.2","0.0","0.0","3.8"
"KJ Hamler","DEN","1.8","21.8","0.1","0.4","2.3","0.0","0.0","3.8"
"Travis Fulgham","PHI","1.8","24.5","0.1","0.0","0.0","0.0","0.0","3.7"
"Quintez Cephus","DET","1.6","24.0","0.0","0.0","0.0","0.0","0.0","3.4"
"N'Keal Harry","NE","2.1","20.7","0.0","0.2","1.3","0.0","0.1","3.3"
"Demarcus Robinson","KC","1.6","18.8","0.1","0.0","0.0","0.0","0.0","3.3"
"Mohamed Sanu","SF","1.7","19.4","0.1","0.0","0.1","0.0","0.0","3.2"
"Josh Palmer","LAC","1.6","20.2","0.1","0.0","0.2","0.0","0.0","3.2"
"Amari Rodgers","GB","1.5","19.9","0.0","0.0","0.3","0.0","0.0","3.0"
"Keke Coutee","HOU","1.6","18.2","0.1","0.1","0.2","0.0","0.1","3.0"
"Dyami Brown","WAS","1.4","18.9","0.1","0.0","0.1","0.0","0.0","2.9"
"Chris Conley","HOU","1.4","18.8","0.1","0.0","0.0","0.0","0.0","2.9"
"Donovan Peoples-Jones","CLE","1.4","18.4","0.1","0.0","0.2","0.0","0.0","2.8"
"Geronimo Allison","DET","1.5","16.5","0.1","0.0","0.1","0.0","0.0","2.7"
"Auden Tate","CIN","1.3","17.1","0.1","0.0","0.0","0.0","0.0","2.7"
"Olamide Zaccheaus","ATL","1.2","16.3","0.1","0.0","0.3","0.0","0.0","2.6"
"Jalen Guyton","LAC","1.0","15.1","0.1","0.1","0.6","0.0","0.0","2.4"
"Adam Humphries","WAS","1.4","15.1","0.0","0.0","0.0","0.0","0.0","2.4"
"Tyron Johnson","LAC","0.9","15.5","0.0","0.0","0.2","0.0","0.0","2.2"
"Scotty Miller","TB","1.0","14.2","0.0","0.1","0.8","0.0","0.0","2.2"
"Andy Isabella","ARI","1.1","14.4","0.0","0.0","0.0","0.0","0.0","2.1"
"Cornell Powell","KC","1.2","15.2","0.0","0.1","0.3","0.0","0.0","2.1"
"Byron Pringle","KC","1.0","12.4","0.1","0.0","0.0","0.0","0.0","2.0"
"Devin Duvernay","BAL","1.0","10.9","0.0","0.1","2.5","0.0","0.0","2.0"
"Dede Westbrook","MIN","1.1","12.0","0.0","0.1","0.7","0.0","0.0","2.0"
"Tyler Johnson","TB","1.0","12.6","0.0","0.0","0.2","0.0","0.0","2.0"
"Albert Wilson","MIA","1.0","11.2","0.0","0.1","0.4","0.0","0.0","1.9"
"Jalen Hurd","SF","0.9","12.1","0.0","0.0","0.2","0.0","0.0","1.8"
"Phillip Dorsett II","JAC","0.8","10.3","0.0","0.0","0.1","0.0","0.0","1.7"
"Willie Snead IV","LV","0.9","9.7","0.0","0.0","0.0","0.0","0.0","1.6"
"Collin Johnson","JAC","0.8","10.0","0.0","0.0","0.1","0.0","0.0","1.6"
"Lynn Bowden Jr.","MIA","0.8","8.5","0.0","0.3","1.6","0.0","0.0","1.6"
"Marquise Goodwin","CHI","0.6","9.4","0.0","0.0","0.1","0.0","0.0","1.4"
"Greg Ward","PHI","0.9","8.2","0.0","0.0","0.0","0.0","0.0","1.3"
"Steven Sims Jr.","WAS","0.8","8.5","0.0","0.1","0.7","0.0","0.0","1.3"
"Antonio Gandy-Golden","WAS","0.7","8.1","0.0","0.0","0.2","0.0","0.0","1.2"
"Richie James Jr.","SF","0.5","7.7","0.0","0.0","0.1","0.0","0.0","1.2"
"John Ross","NYG","0.6","9.1","0.0","0.0","0.1","0.0","0.0","1.2"
"Isaiah McKenzie","BUF","0.5","6.0","0.0","0.1","0.7","0.0","0.0","1.2"
"Freddie Swain","SEA","0.5","6.7","0.0","0.0","0.0","0.0","0.0","1.1"
"Jakeem Grant Sr.","MIA","0.5","6.4","0.0","0.0","0.2","0.0","0.0","1.1"
"Javon Wims","CHI","0.5","6.1","0.0","0.0","0.0","0.0","0.0","1.0"
"Jamal Agnew","JAC","0.4","4.6","0.0","0.3","1.4","0.0","0.0","1.0"
"Chris Moore","HOU","0.5","5.6","0.0","0.0","0.0","0.0","0.0","0.9"
"Penny Hart","SEA","0.4","4.9","0.0","0.1","0.3","0.0","0.0","0.8"
"Tylan Wallace","BAL","0.5","5.9","0.0","0.0","0.1","0.0","0.0","0.8"
"Kenny Stills","BUF","0.4","6.3","0.0","0.0","0.0","0.0","0.0","0.8"
